5,0,1446894654.88
3,0,1446894654.89
5,0,1446894654.99
3,0,1446894655.0
5,0,1446894655.1
3,0,1446894655.1
3,100,1446894693.04
5,0,1446894693.04
3,100,1446894694.04
5,0,1446894694.04
3,100,1446894695.04
5,0,1446894695.04
3,100,1446894696.04
5,0,1446894696.04
3,100,1446894697.07
5,0,1446894697.07
3,100,1446894698.04
5,0,1446894698.04
3,100,1446894699.04
5,0,1446894699.05
3,100,1446894700.04
5,0,1446894700.05
3,100,1446894701.05
5,0,1446894701.05
3,100,1446894702.05
5,0,1446894702.05
3,300,1446894719.87
5,0,1446894719.87
3,300,1446894720.87
5,0,1446894720.87
3,300,1446894721.87
5,0,1446894721.87
3,300,1446894722.87
5,0,1446894722.88
3,300,1446894723.97
5,0,1446894723.97
3,300,1446894724.88
5,0,1446894724.88
3,300,1446894725.91
5,0,1446894725.95
3,300,1446894726.88
5,0,1446894726.89
3,300,1446894727.88
5,0,1446894727.89
3,300,1446894740.75
5,0,1446894740.75
3,300,1446894741.75
5,0,1446894741.75
3,300,1446894742.75
5,0,1446894742.75
3,300,1446894743.75
5,0,1446894743.76
3,300,1446894744.75
5,0,1446894744.76
3,300,1446894745.76
5,0,1446894745.76
3,300,1446894746.76
5,0,1446894746.76
3,300,1446894747.76
5,0,1446894747.76
3,300,1446894748.76
5,0,1446894748.76
3,300,1446894749.76
5,0,1446894749.76
3,300,1446894750.78
5,0,1446894750.78
3,300,1446894751.76
5,0,1446894751.77
3,300,1446894752.77
5,0,1446894752.77
3,300,1446894753.77
5,0,1446894753.77
3,300,1446894754.77
5,0,1446894754.78
