%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1495100184151566905,64.1082229614,-496.632324219,3.077283144,-23.5198841095,0.0427495054901,0.000830453413073
1495100184201848575,65.1067123413,-496.664611816,6.09462118149,-25.077665329,-0.0714750513434,0.000810596335214
1495100184251465849,64.1275558472,-496.873260498,9.24060249329,-23.5590705872,0.0119661055505,0.000867534719873
1495100184301708764,65.0665206909,-496.576416016,-1.97258985043,-26.3544845581,-0.0372659116983,0.000770495040342
1495100184351359702,64.1206054688,-496.814666748,6.81217002869,-26.3568115234,0.0490344166756,0.000828435702715
1495100184401380308,65.1044006348,-496.602325439,-4.33913087845,-26.6393909454,-0.0389365665615,0.000839516695123
1495100184451412649,64.1400680542,-496.67300415,-9.21856212616,-26.0417804718,0.0579741969705,0.000849448493682
1495100184502142768,65.1021728516,-496.966308594,-6.68362283707,-26.0263576508,-0.0391256287694,0.00082871055929
1495100184551809771,64.0782089233,-496.585632324,-13.9098396301,-23.085483551,0.0594420209527,0.000867170863785
1495100184601800416,65.1844940186,-496.888183594,-11.1814022064,-21.3236522675,-0.0420332811773,0.000827966607176
1495100184651703202,64.1290359497,-496.295898438,-9.05888462067,-23.3172302246,0.0580387189984,0.000763786258176
1495100184701681832,65.2563476562,-496.679656982,-6.27739477158,-22.1463813782,-0.0473324283957,0.000882708525751
1495100184751322292,64.0459671021,-496.342041016,-1.08276998997,-23.1559257507,0.0667850151658,0.000835987681057
1495100184801507793,65.3040237427,-496.397491455,2.11823749542,-23.2246055603,-0.0555034093559,0.000871307565831
1495100184851851695,64.0139312744,-496.493011475,7.47759485245,-21.5891971588,0.0679330155253,0.000872750359122
1495100184902554721,65.2951507568,-496.147491455,10.7136554718,-21.5589313507,-0.0562720671296,0.000813189311884
1495100184951576247,64.0819778442,-496.79196167,11.8381690979,-20.9332790375,0.0478529445827,0.000771772756707
1495100185001160281,65.2722167969,-496.079315186,14.5750465393,-22.1372413635,-0.0566001161933,0.000703178171534
1495100185051392926,64.0522689819,-496.942260742,10.2709980011,-22.8961734772,0.0596388727427,0.000750594714191
1495100185102650348,65.3889846802,-496.123626709,13.5556983948,-22.8384799957,-0.065608471632,0.000774328247644
1495100185151730612,63.992855072,-496.961395264,2.58067131042,-25.9352874756,0.0687322095037,0.000756430556066
1495100185201382735,65.585647583,-496.333709717,6.36340141296,-25.232963562,-0.0743272081017,0.000890831463039
1495100185251264220,63.8185462952,-496.59954834,-2.52065730095,-25.0526485443,0.0838563367724,0.000885713612661
1495100185301565306,65.6342391968,-496.474761963,8.28151226044,-24.2883491516,-0.0814099833369,0.0008792510489
1495100185351844959,63.7406730652,-496.693572998,-0.536708891392,-24.3977870941,0.0906050279737,0.000872375909239
1495100185401447007,65.7724761963,-496.271697998,4.24546194077,-23.5681228638,-0.089336745441,0.000905027554836
1495100185451745859,63.6980743408,-496.410736084,4.90006065369,-22.4708633423,0.0964219868183,0.000874468008988
1495100185502301240,65.7355804443,-495.974914551,9.79735183716,-22.4233722687,-0.0891210362315,0.000834904552903
1495100185551754245,63.6988830566,-496.679840088,9.57045459747,-20.7415332794,0.0951593145728,0.000829635653645
