%time,field.speed,field.yaw
1495802636377863624,1.5,-1.33117508888
1495802636877582548,1.5,-1.37031042576
1495802637378104296,1.5,-1.39908993244
1495802637878010047,1.5,-1.4173463583
1495802638379187468,1.5,-1.40339541435
1495802638878826699,1.5,-1.39111864567
1495802639377881225,1.5,-1.36921167374
1495802639877583317,1.5,-1.36628293991
1495802640377709134,1.5,-1.33527243137
1495802640877727958,1.5,-1.36902594566
1495802641377587333,1.5,-1.41412866116
1495802641877872179,1.5,-1.45209920406
1495802642384454406,1.5,-1.49758768082
1495802642878897871,1.5,-1.50711119175
1495802643377557648,1.5,-0.80753415823
1495802643877509215,1.5,-0.488962858915
1495802644378753124,1.5,-0.312391221523
1495802644878803792,1.5,-0.269044965506
1495802645377909580,1.5,-0.255178928375
1495802645878858829,1.5,-0.296235471964
1495802646377790011,1.5,-0.204327359796
1495802646878986916,1.5,-0.019997028634
1495802647378935899,1.5,0.428031921387
1495802647879248541,1.5,1.11825954914
1495802648380077243,1.5,-0.761313319206
1495802648878895217,1.5,-0.547915458679
1495802649377841763,1.5,-0.191713392735
1495802649877615444,1.5,0.0535613000393
1495802650382063949,1.5,0.294740527868
1495802650878645182,1.5,0.43302321434
1495802651377868933,1.5,0.640518903732
1495802651878953255,1.5,0.828204035759
1495802652377585515,1.5,1.1478729248
1495802652880293646,1.5,1.33628940582
1495802653377935073,1.5,1.53217470646
1495802653878703639,1.5,1.63955008984
1495802654378865497,1.5,1.73754954338
1495802654877752054,1.5,1.81306540966
1495802655377652423,1.5,1.91496884823
1495802655878302402,1.5,2.0269215107
1495802656378221423,1.5,2.05669236183
1495802656877754357,1.5,2.1895403862
1495802657378716945,1.5,2.28507971764
1495802657878482944,1.5,2.41608738899
1495802658377645090,1.5,2.49561524391
1495802658878598739,1.5,2.627576828
1495802659377610660,1.5,2.71021842957
1495802659880045920,1.5,2.77186799049
1495802660377718006,1.5,2.90640449524
1495802660878925459,1.5,3.02678728104
1495802661377863624,1.5,-3.09103727341
1495802661878029394,1.5,-2.98373365402
1495802662377806496,1.5,-2.84282684326
1495802662877682770,1.5,-2.77430415154
1495802663378939460,1.5,-2.68259119987
1495802663877630041,1.5,1.84011638165
1495802664377886183,1.5,2.47471690178
1495802664880116739,1.5,2.97406578064
1495802665378409087,1.5,-2.95893716812
