%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1494938362667151532,123922.60,70.3612412567,-492.200732492,9.97777221667,57.0153396567
1494938362863832898,123922.80,70.4175104068,-492.171505915,9.9777727,57.0153401633
1494938363066229306,123923.00,70.4932146263,-492.149332061,9.97777306667,57.015340845
1494938363261602963,123923.20,70.5963130369,-492.140256641,9.97777321667,57.0153417733
1494938363464425403,123923.40,70.7008922156,-492.136219621,9.97777328333,57.015342715
1494938363665577589,123923.60,70.8297189542,-492.146288918,9.97777311667,57.015343875
1494938363865880784,123923.80,70.9600264617,-492.143258062,9.97777316667,57.0153450483
1494938364063829280,123924.00,71.1021801066,-492.144257289,9.97777315,57.0153463283
1494938364266408463,123924.20,71.2293409823,-492.152311291,9.97777301667,57.0153474733
1494938364461549618,123924.40,71.3503936955,-492.130134738,9.97777338333,57.0153485633
1494938364664194941,123924.60,71.4658935307,-492.111989305,9.97777368333,57.0153496033
1494938364859067417,123924.80,71.5697323261,-492.105936935,9.97777378333,57.0153505383
1494938365054851881,123925.00,71.6730158326,-492.087792231,9.97777408333,57.0153514683
1494938365281977970,123925.20,71.7561238869,-492.057556362,9.97777458333,57.0153522167
1494938365473116033,123925.40,71.8122079424,-492.03236059,9.977775,57.0153527217
1494938365666788986,123925.60,71.8466357774,-492.014219989,9.9777753,57.0153530317
1494938365863266136,123925.80,71.8473761609,-491.993058303,9.97777565,57.0153530383
1494938366064483902,123926.00,71.8296069556,-491.97189772,9.977776,57.0153528783
1494938366263630107,123926.20,71.8007319964,-491.955776284,9.97777626667,57.0153526183
1494938366461749015,123926.40,71.7589003259,-491.93562483,9.9777766,57.0153522417
1494938366666976580,123926.60,71.6965230112,-491.924543876,9.97777678333,57.01535168
1494938366862129120,123926.80,71.6260014761,-491.914471103,9.97777695,57.015351045
1494938367065657096,123927.00,71.5375256405,-491.909437886,9.97777703333,57.0153502483
1494938367263982176,123927.20,71.4309104069,-491.908436538,9.97777705,57.0153492883
1494938367463990571,123927.40,71.3531701338,-491.910456563,9.97777701667,57.0153485883
1494938367664765195,123927.60,71.2854250371,-491.893329743,9.9777773,57.0153479783
1494938367864657095,123927.80,71.2293409823,-491.868140651,9.97777771667,57.0153474733
1494938368060114911,123928.00,71.1664083802,-491.855044333,9.97777793333,57.0153469067
1494938368266188952,123928.20,71.0884830104,-491.836910422,9.97777823333,57.015346205
1494938368463371289,123928.40,70.9977860232,-491.819784968,9.97777851667,57.0153453883
1494938368665997475,123928.60,70.910605859,-491.814751672,9.9777786,57.0153446033
1494938368863764942,123928.80,70.8176877216,-491.8167726,9.97777856667,57.0153437667
1494938369065686918,123929.00,70.7107022973,-491.807709694,9.97777871667,57.0153428033
1494938369264746659,123929.20,70.5937216946,-491.805701264,9.97777875,57.01534175
1494938369463452235,123929.40,70.4721136947,-491.819816269,9.97777851667,57.015340655
1494938369663478300,123929.60,70.3599455845,-491.831915317,9.97777831667,57.015339645
1494938369864913133,123929.80,70.2222342429,-491.83091582,9.97777833333,57.015338405
1494938370062813299,123930.00,70.0997007636,-491.84503088,9.9777781,57.0153373017
1494938370268794590,123930.20,69.9830903515,-491.866199471,9.97777775,57.0153362517
1494938370464378680,123930.40,69.8527828454,-491.871245718,9.97777766667,57.0153350783
1494938370662957354,123930.60,69.7143311183,-491.879315543,9.97777753333,57.0153338317
1494938370868147413,123930.80,69.5908721603,-491.900484542,9.97777718333,57.01533272
1494938371063846251,123931.00,69.4577882151,-491.904523258,9.97777711667,57.0153315217
1494938371264647624,123931.20,69.3135985154,-491.908562636,9.97777705,57.0153302233
1494938371465934464,123931.40,69.1601540221,-491.904540984,9.97777711667,57.0153288417
1494938371870570067,123931.80,68.8825101858,-491.923703773,9.9777768,57.0153263417
1494938372065812074,123932.00,68.7501666255,-491.919680865,9.97777686667,57.01532515
1494938372262531503,123932.20,68.6168975844,-491.922711895,9.97777681667,57.01532395
1494938372463294533,123932.40,68.4862198848,-491.920704282,9.97777685,57.0153227733
1494938372664744732,123932.60,68.3627609261,-491.911642356,9.977777,57.0153216617
1494938372861977844,123932.80,68.2337490907,-491.89854997,9.97777721667,57.0153205
1494938373063514924,123933.00,68.1093646518,-491.891503494,9.97777733333,57.01531938
1494938373264576596,123933.20,67.9836845422,-491.875387815,9.9777776,57.0153182483
1494938373463311505,123933.40,67.8633722138,-491.858264119,9.97777788333,57.015317165
1494938373663160731,123933.60,67.7543507332,-491.84517054,9.9777781,57.0153161833
1494938373864268847,123933.80,67.636259555,-491.827039013,9.9777784,57.01531512
1494938374064046696,123934.00,67.5318654723,-491.798829692,9.97777886667,57.01531418
1494938374264020589,123934.20,67.4269161037,-491.77666659,9.97777923333,57.015313235
1494938374464848083,123934.40,67.3212263495,-491.754503531,9.9777796,57.0153122833
1494938374662190706,123934.60,67.2196087065,-491.727301741,9.97778005,57.0153113683
1494938374861471494,123934.80,67.1446448703,-491.698082967,9.97778053333,57.0153106933
1494938375065293433,123935.00,67.0806016927,-491.684986708,9.97778075,57.0153101167
1494938375263207637,123935.20,67.0396955009,-491.679950654,9.97778083333,57.0153097483
1494938375463595899,123935.40,67.0422868425,-491.704135248,9.97778043333,57.0153097717
1494938375664433379,123935.60,67.0570945141,-491.737388394,9.97777988333,57.015309905
1494938375861524504,123935.80,67.0876353361,-491.759555928,9.97777951667,57.01531018
1494938376063050620,123936.00,67.1187314455,-491.791800406,9.97777898333,57.01531046
1494938376259803224,123936.20,67.1352049799,-491.82606115,9.97777841667,57.0153106083
1494938376464365270,123936.40,67.157046295,-491.853267691,9.97777796667,57.015310805
1494938376661464357,123936.60,67.1812938563,-491.875435598,9.9777776,57.0153110233
1494938376865674892,123936.80,67.1986928702,-491.900627007,9.97777718333,57.01531118
1494938377059740422,123937.00,67.206651993,-491.921788187,9.97777683333,57.0153112517
1494938377263472196,123937.20,67.2077625685,-491.932872797,9.97777665,57.0153112617
1494938377465614312,123937.40,67.2371928157,-491.950001906,9.97777636667,57.0153115267
1494938377663696274,123937.60,67.2919811997,-491.964106412,9.97777613333,57.01531202
1494938377865820860,123937.80,67.3556541852,-491.978210389,9.9777759,57.0153125933
1494938378057191704,123938.00,67.4235843773,-491.98828332,9.97777573333,57.015313205
1494938378263923859,123938.20,67.4868871722,-491.998356527,9.97777556667,57.015313775
1494938378462677695,123938.40,67.5466731447,-492.015483828,9.97777528333,57.0153143133
