%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1494579064507759753,60.7879867554,-491.766204834,4.00419187546,-31.9063262939,-0.0372003763914,0.000478667410789
1494579064557874435,61.1938476562,-495.055175781,25.45154953,-3.53054904938,-0.045128248632,0.000572350167204
1494579064608026134,61.4585113525,-494.962585449,31.2828960419,4.35700130463,-0.267003029585,5.23509661434e-05
1494579064657468595,61.5703582764,-494.756591797,32.0098266602,8.48191547394,-0.30363330245,-5.0798887969e-05
1494579064708068814,61.5611000061,-494.722503662,32.040927887,10.2574853897,-0.311125963926,-0.000122954981634
1494579064758035922,61.5811882019,-494.714233398,32.4871139526,7.77604484558,-0.310784131289,-0.00017575045058
1494579064807709627,61.5802078247,-494.764556885,32.6716957092,6.67713117599,-0.315440833569,-0.000129178893985
1494579064857493682,61.571521759,-494.803527832,33.0491256714,-0.539603412151,-0.317772388458,-0.000129570544232
1494579064907431387,61.5823554993,-494.91027832,33.1381034851,-2.73783946037,-0.321684151888,1.69994711996e-06
1494579064957904565,61.5716056824,-494.913543701,33.2615089417,0.119241885841,-0.323446005583,5.43067253602e-05
1494579065008018270,61.5739822388,-494.878448486,33.2995185852,0.694414913654,-0.324724853039,9.15679834179e-07
1494579065057441594,61.5694961548,-494.831878662,33.1034622192,4.1870470047,-0.323775023222,5.36543029739e-06
1494579065108178283,61.5614051819,-494.78302002,32.986656189,5.71039390564,-0.32175257802,-5.82674620091e-05
1494579065157693449,61.5649795532,-494.688323975,32.860710144,8.14692783356,-0.321377962828,-5.04357012687e-05
1494579065207966811,61.5614395142,-494.648986816,32.9035835266,8.35371303558,-0.320082515478,-9.49342793319e-05
1494579065257502789,61.5622596741,-494.651885986,32.8008575439,8.63377952576,-0.318705797195,-0.000104899954749
1494579065308043923,61.5549583435,-494.61227417,32.7118492126,9.75960922241,-0.317434340715,-9.12248433451e-05
1494579065358016199,61.5586776733,-494.656188965,32.6455688477,8.81980133057,-0.316513866186,-0.000143502198625
1494579065407998952,61.5561485291,-494.672729492,32.6266555786,8.46357059479,-0.315830677748,-0.000125011254568
1494579065457561889,61.5480995178,-494.689361572,32.4813461304,8.44476032257,-0.314869999886,-0.000128978557768
1494579065507986737,61.5432128906,-494.691223145,32.3777313232,8.69312858582,-0.313370466232,-0.000128534564283
1494579065557779940,61.5443305969,-494.724487305,32.6738510132,6.29426860809,-0.312745124102,-0.000151367014041
1494579065607813398,61.5496520996,-494.759399414,32.7881507874,5.35195302963,-0.315809726715,-0.000107128122181
1494579065657374239,61.5428657532,-494.800720215,33.1431655884,1.43992936611,-0.319447875023,-0.000104326041765
1494579065707879195,61.5537719727,-494.856445312,33.2401008606,0.32463529706,-0.323112994432,-3.32588060701e-05
1494579065757923269,61.5429039001,-494.829803467,32.9216918945,4.89898347855,-0.32259580493,8.75724163052e-06
1494579065807978307,61.5373306274,-494.766143799,32.7826271057,6.57852983475,-0.319304972887,-7.5575466326e-05
1494579065857518406,61.5337791443,-494.650268555,32.3241462708,10.4211483002,-0.319086760283,-6.88091167831e-05
1494579065907246726,61.5228843689,-494.58972168,32.0018692017,12.1397590637,-0.314351350069,-0.000138850533403
1494579065957969448,61.5226783752,-494.504425049,32.2409057617,12.6975841522,-0.311412513256,-0.000140465475852
1494579066007832772,61.5280761719,-494.490478516,32.448841095,12.2683916092,-0.313899993896,-0.000150540741743
1494579066057368400,61.5258140564,-494.531585693,32.3554878235,11.8937711716,-0.315913230181,-0.000162540280144
1494579066107850029,61.5220870972,-494.540405273,32.2245788574,12.1610946655,-0.314943909645,-0.000155414585606
1494579066157937684,61.5223045349,-494.595214844,32.5809555054,9.1543264389,-0.31345140934,-0.000189274986042
1494579066207820144,61.5287742615,-494.639770508,32.7695426941,7.68797826767,-0.317139953375,-0.000133687848574
1494579066257418491,61.5496788025,-494.697570801,33.079662323,4.22374629974,-0.31950622797,-0.000133727415232
1494579066307839707,61.5563735962,-494.722869873,33.1380233765,3.61309242249,-0.321359604597,-5.77506798436e-05
1494579066357611818,61.5508346558,-494.7059021,33.0361442566,5.40550947189,-0.321865111589,-3.48303474311e-05
1494579066407956000,61.5505523682,-494.680389404,33.0059318542,5.97454977036,-0.320810437202,-6.80485754856e-05
1494579066457605470,61.5667381287,-494.650787354,32.7582626343,8.09061050415,-0.322267502546,-7.56248118705e-05
1494579066507696057,61.5614776611,-494.620422363,32.5564346313,9.33973503113,-0.31970128417,-0.000113900488941
1494579066557836023,61.5578041077,-494.541931152,32.2993240356,11.3908548355,-0.315829634666,-0.000106503837742
1494579066607941696,61.5539741516,-494.508026123,32.2248497009,11.9629364014,-0.31318295002,-0.000143987446791
