%time,field.speed,field.yaw
1495799555542226847,1.5,1.39084970951
1495799556041925235,1.5,-0.87165158987
1495799556541868696,1.5,-0.880147755146
1495799557042271227,1.5,0.912992477417
1495799557542236341,1.5,0.759783565998
1495799558042349031,1.5,0.832466244698
1495799558542275664,1.5,0.890793025494
1495799559041742393,1.5,0.895148932934
1495799559541615382,1.5,0.629448652267
1495799560042266966,1.5,0.562764585018
1495799560542091563,1.5,0.383555561304
1495799561042506453,1.5,0.299022555351
1495799561541693467,1.5,0.176255568862
1495799562041763834,1.5,0.0817876532674
1495799562541873097,1.5,-0.0465799756348
1495799563042097320,1.5,-0.19197294116
1495799563542874410,1.5,-0.355329781771
1495799564041774868,1.5,-0.610266506672
1495799564541963053,1.5,-1.08546102047
1495799565042336879,1.5,-1.0981887579
1495799565542153514,1.5,-1.12873125076
1495799566042084192,1.5,-1.15307641029
1495799566542295844,1.5,-1.1729439497
1495799567042265778,1.5,-1.18801367283
1495799567541881271,1.5,-1.20361745358
1495799568041775983,1.5,-1.22938489914
1495799568544213200,1.5,-1.22123157978
1495799569043836723,1.5,-1.23764681816
1495799569542252615,1.5,-1.26368427277
1495799570045329370,1.5,-1.27310168743
1495799570542045679,1.5,-1.28702366352
1495799571041876907,1.5,-1.31529438496
1495799571541839505,1.5,-1.33923304081
1495799572042370053,1.5,-1.37002170086
1495799572542269234,1.5,-1.40375089645
1495799573042437032,1.5,-1.42620897293
1495799573542002238,1.5,-1.47319161892
1495799574041926558,1.5,-1.49133181572
1495799574542205684,1.5,-1.52852773666
1495799575042407207,1.5,-1.54534876347
1495799575541909205,1.5,-1.57502782345
1495799576042215497,1.5,-2.04990458488
1495799576542047354,1.5,-1.91020047665
1495799577043881351,1.5,-2.54472017288
1495799577541884901,1.5,-2.4916536808
