%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1494579075431107268,085115.40,60.6971997154,-494.498861167,9.97773421667,57.0152526383
1494579075636114623,085115.60,60.6929425089,-494.494830627,9.97773428333,57.0152526
1494579075835730579,085115.80,60.6905362626,-494.484753786,9.97773445,57.0152525783
1494579076034940199,085116.00,60.6894256872,-494.482738455,9.97773448333,57.0152525683
1494579076238875351,085116.20,60.6838728113,-494.483746486,9.97773446667,57.0152525183
1494579076432728214,085116.40,60.6727670574,-494.478708658,9.97773455,57.0152524183
1494579076656709770,085116.60,60.6670290847,-494.474678207,9.97773461667,57.0152523667
1494579076826044222,085116.80,60.6701757144,-494.465608732,9.97773476667,57.015252395
1494579077034318472,085117.00,60.6596252493,-494.464601664,9.97773478333,57.0152523
1494579077232398480,085117.20,60.6501853589,-494.464602229,9.97773478333,57.015252215
1494579077438463161,085117.40,60.6435219062,-494.458556437,9.97773488333,57.015252155
1494579077633293943,085117.60,60.6442622903,-494.454525598,9.97773495,57.0152521617
1494579077836403500,085117.80,60.6374137422,-494.449487515,9.97773503333,57.0152521
1494579078030516103,085118.00,60.635192592,-494.443441456,9.97773513333,57.01525208
1494579078233070632,085118.20,60.635192592,-494.441426059,9.97773516667,57.01525208
1494579078435656101,085118.40,60.6348223999,-494.440418383,9.97773518333,57.0152520767
1494579078638349823,085118.60,60.6285291399,-494.435380266,9.97773526667,57.01525202
1494579078828651188,085118.80,60.6285291399,-494.428326376,9.97773538333,57.01525202
1494579079026925842,085119.00,60.632971441,-494.423287617,9.97773546667,57.01525206
1494579079233825267,085119.20,60.6311204822,-494.420264632,9.97773551667,57.0152520433
1494579079425380562,085119.40,60.6403752765,-494.41220249,9.97773565,57.0152521267
1494579079626765249,085119.60,60.6853535781,-494.420261386,9.97773551667,57.0152525317
1494579079836056319,085119.80,60.7669808656,-494.436379677,9.97773525,57.0152532667
1494579080031904967,085120.00,61.0268554959,-494.435356422,9.97773526667,57.0152556067
1494579080234820855,085120.20,61.1616053038,-494.486740981,9.97773441667,57.01525682
1494579080427016105,085120.40,61.300797415,-494.55324075,9.97773331667,57.0152580733
1494579080629148444,085120.60,61.4584991121,-494.641908776,9.97773185,57.0152594933
1494579080870443583,085120.80,61.6236046467,-494.765845801,9.9777298,57.01526098
1494579081040796531,085121.00,61.7848231676,-494.903890833,9.97772751667,57.0152624317
1494579081227989819,085121.20,61.9351210313,-495.075190562,9.97772468333,57.015263785
1494579081422315647,085121.40,62.073387661,-495.260598784,9.97772161667,57.01526503
1494579081630613295,085121.60,62.1792625112,-495.46112442,9.9777183,57.0152659833
1494579081825417327,085121.80,62.2525604831,-495.669713592,9.97771485,57.0152666433
1494579082038502873,085122.00,62.2986493601,-495.895435267,9.97771111667,57.0152670583
1494579082229639051,085122.20,62.3108656888,-496.11712818,9.97770745,57.0152671683
1494579082433064361,085122.40,62.3034618526,-496.343860764,9.9777037,57.0152671017
1494579082637509702,085122.60,62.2429354967,-496.561527256,9.9777001,57.0152665567
1494579082832214001,085122.80,62.1592721543,-496.766095063,9.97769671667,57.0152658033
1494579083021861302,085123.00,62.0446977978,-496.958572354,9.97769353333,57.0152647717
1494579083233862423,085123.20,61.9027292504,-497.127874234,9.97769073333,57.0152634933
1494579083433445554,085123.40,61.7500251398,-497.270976606,9.97768836667,57.0152621183
1494579083634616527,085123.60,61.5690013588,-497.392919021,9.97768635,57.0152604883
1494579083831623074,085123.80,61.3550305109,-497.482617074,9.97768486667,57.0152585617
1494579084021228051,085124.00,61.1556822359,-497.550144883,9.97768375,57.0152567667
1494579084231438930,085124.20,60.9413411946,-497.576357957,9.97768331667,57.0152548367
1494579084440396997,085124.40,60.7290362082,-497.571332253,9.9776834,57.015252925
1494579084636640318,085124.60,60.5274667836,-497.53204415,9.97768405,57.01525111
1494579084840787927,085124.80,60.2946161522,-497.458496175,9.97768526667,57.0152490133
1494579085030257272,085125.00,60.111741413,-497.35269883,9.97768701667,57.0152473667
1494579085234216658,085125.20,59.933308975,-497.206593265,9.97768943333,57.01524576
1494579085433474608,085125.40,59.7863428384,-497.063508896,9.9776918,57.0152444367
1494579085621856036,085125.60,59.6528886998,-496.894223543,9.9776946,57.015243235
1494579085879314474,085125.80,59.5533071117,-496.696720582,9.97769786667,57.0152423383
1494579086026940370,085126.00,59.4868576864,-496.492161734,9.97770125,57.01524174
1494579086236960582,085126.20,59.4539106175,-496.275508485,9.97770483333,57.0152414433
1494579086427533839,085126.40,59.4463216867,-496.056838313,9.97770845,57.015241375
1494579086640526846,085126.60,59.47093944,-495.839173907,9.97771205,57.0152415967
1494579086832339087,085126.80,59.5383143447,-495.631583923,9.97771548333,57.0152422033
1494579087031700472,085127.00,59.6410425632,-495.438099605,9.97771868333,57.0152431283
1494579087229660213,085127.20,59.7672779602,-495.258721664,9.97772165,57.015244265
1494579087435554482,085127.40,59.9173907279,-495.105542462,9.97772418333,57.0152456167
1494579087638019195,085127.60,60.0943423998,-494.980577221,9.97772625,57.01524721
1494579087841416568,085127.80,60.2851762633,-494.871734332,9.97772805,57.0152489283
1494579088027547221,085128.00,60.4858202077,-494.802191106,9.9777292,57.015250735
1494579088231286746,085128.20,60.6923872222,-494.768924678,9.97772975,57.015252595
1494579088435654704,085128.40,60.9187594961,-494.765888022,9.9777298,57.0152546333
1494579088638860363,085128.60,61.0066800437,-494.850529434,9.9777284,57.015255425
1494579088828151054,085128.80,61.1901100709,-494.921057341,9.97772723333,57.0152570767
1494579089039223356,085129.00,61.5382754415,-494.955298228,9.97772666667,57.0152602117
1494579089236383833,085129.20,61.7146718246,-495.071172981,9.97772475,57.0152618
1494579089433430958,085129.40,61.8670057432,-495.214257031,9.97772238333,57.0152631717
1494579089637468566,085129.60,61.9989791136,-495.389588645,9.97771948333,57.01526436
1494579089836491431,085129.80,62.1120727025,-495.571975276,9.97771646667,57.0152653783
1494579090077818907,085130.00,62.1831495242,-495.772502995,9.97771315,57.0152660183
1494579090235234735,085130.20,62.2260917709,-495.981093987,9.9777097,57.015266405
1494579090430985744,085130.40,62.2294234973,-496.195733547,9.97770615,57.015266435
1494579090648883705,085130.60,62.2098033325,-496.404328296,9.9777027,57.0152662583
1494579090858517765,085130.80,62.1609380171,-496.610909407,9.97769928333,57.0152658183
1494579091028926027,085131.00,62.0743131411,-496.802377316,9.97769611667,57.0152650383
1494579091247734159,085131.20,61.9517796604,-496.981755008,9.97769315,57.015263935
1494579091426138480,085131.40,61.8083303462,-497.140979996,9.97769051667,57.0152626433
1494579091639646986,085131.60,61.6482224015,-497.275013529,9.9776883,57.0152612017
1494579091845776620,085131.80,61.4721962083,-497.385870961,9.97768646667,57.0152596167
1494579092048893860,085132.00,61.2582253597,-497.469522824,9.97768508333,57.01525769
1494579092239529904,085132.20,61.0525838247,-497.51790474,9.97768428333,57.0152558383
1494579092439562394,085132.40,60.8513845921,-497.541093926,9.9776839,57.0152540267
1494579092641574535,085132.60,60.6294546193,-497.526999514,9.97768413333,57.0152520283
1494579092840394930,085132.80,60.4256640446,-497.475619159,9.97768498333,57.0152501933
1494579093050463263,085133.00,60.2070657967,-497.391993337,9.97768636667,57.015248225
1494579093233593674,085133.20,60.0138256864,-497.282165819,9.97768818333,57.015246485
1494579093436938387,085133.40,59.8555687005,-497.147143722,9.97769041667,57.01524506
1494579093634894147,085133.60,59.7071217964,-496.984913164,9.9776931,57.0152437233
1494579093839931463,085133.80,59.5838479337,-496.803534811,9.9776961,57.0152426133
1494579094029371475,085134.00,59.4907447009,-496.605023759,9.97769938333,57.015241775
1494579094243839949,085134.20,59.4402135227,-496.395425458,9.97770285,57.01524132
1494579094424929039,085134.40,59.4002328097,-496.17877263,9.97770643333,57.01524096
1494579094636551829,085134.60,59.4002328097,-495.959094303,9.97771006667,57.01524096
1494579094828443620,085134.80,59.4392880426,-495.744452125,9.97771361667,57.0152413117
1494579095030727793,085135.00,59.5061076592,-495.535854476,9.97771706667,57.0152419133
1494579095240608463,085135.20,59.6106868379,-495.337331553,9.97772035,57.015242855
1494579095444610033,085135.40,59.7343308913,-495.158961467,9.9777233,57.0152439683
1494579095625862761,085135.60,59.8861095225,-495.007797564,9.9777258,57.015245335
1494579095833689608,085135.80,60.0628760984,-494.868724555,9.9777281,57.0152469267
1494579096028279856,085136.00,60.2550056326,-494.770966275,9.97772971667,57.0152486567
1494579096232031185,085136.20,60.4506519885,-494.693361761,9.977731,57.0152504183
1494579096432642170,085136.40,60.6533319886,-494.649010884,9.97773173333,57.0152522433
1494579096627744494,085136.60,60.8797042625,-494.647989629,9.97773175,57.0152542817
1494579096826251372,085136.80,61.1068169213,-494.671153094,9.97773136667,57.0152563267
1494579097043581592,085137.00,61.1991797706,-494.781994401,9.97772953333,57.0152571583
1494579097229129000,085137.20,61.402229962,-494.871667405,9.97772805,57.0152589867
1494579097431069484,085137.40,61.6948665652,-494.93211178,9.97772705,57.0152616217
1494579097637598750,085137.60,61.855714894,-495.071164528,9.97772475,57.01526307
1494579097842117146,085137.80,62.0026810306,-495.228356674,9.97772215,57.0152643933
1494579098033833565,085138.00,62.1144789488,-495.412758782,9.9777191,57.0152654
1494579098225387393,085138.20,62.1999932501,-495.617316429,9.97771571667,57.01526617
1494579098445386389,085138.40,62.2584835511,-495.826914187,9.97771225,57.0152666967
1494579098624484583,085138.60,62.278659004,-496.039537338,9.97770873333,57.0152668783
1494579098825921581,085138.80,62.2682936335,-496.246116132,9.97770531667,57.015266785
1494579099035160340,085139.00,62.2325701276,-496.458742642,9.9777018,57.0152664633
1494579099232475026,085139.20,62.1581615788,-496.6582714,9.9776985,57.0152657933
1494579099438468470,085139.40,62.0550631683,-496.842686411,9.97769545,57.015264865
1494579099634142445,085139.60,61.9347508392,-497.014002383,9.97769261667,57.0152637817
1494579099834549284,085139.80,61.772977031,-497.149043711,9.97769038333,57.015262325
1494579100033934625,085140.00,61.6086118798,-497.280054406,9.97768821667,57.015260845
1494579100232840645,085140.20,61.4249967565,-497.376804517,9.97768661667,57.0152591917
1494579100433217872,085140.40,61.205843222,-497.447356611,9.97768545,57.0152572183
1494579100634311391,085140.60,60.9966848652,-497.479615562,9.97768491667,57.015255335
1494579100864037113,085140.80,60.7919688117,-497.48063559,9.9776849,57.0152534917
1494579101023396414,085141.00,60.5741109473,-497.444371562,9.9776855,57.01525153
