%time,field.speed,field.yaw
1495895711804143946,1.0,-0.709892630577
1495895712304453516,1.0,-0.6822707057
1495895712803160441,1.0,-0.688183784485
1495895713303898836,1.0,-0.687719643116
1495895713804467798,1.0,-0.684025526047
1495895714304429909,1.0,-0.672742545605
1495895714804354093,1.0,-0.679466128349
1495895715303790442,1.0,-0.68459546566
1495895715804234874,1.0,-0.676982522011
1495895716303687845,1.0,-0.645297706127
1495895716803964938,1.0,-0.622105777264
1495895717304280659,1.0,-0.570556163788
1495895717803735719,1.0,-0.563901424408
1495895718304342747,1.0,-0.547094702721
1495895718804294379,1.0,-0.606339693069
1495895719305316895,1.0,-0.727420210838
1495895719803054208,1.0,-0.828895568848
1495895720303892760,1.0,-1.01361703873
1495895720803251789,1.0,-1.1591360569
