%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1493994104528552394,-0.00522872572765,0.036895647645,-0.0648778751493,0.458390593529,0.00251060072333,-9.18321507726e-09
1493994104578969350,-0.00610448373482,0.033781632781,-0.0649535655975,0.393060624599,0.00251279911026,-2.37093149735e-06
1493994104627540820,-0.0055839503184,0.0325242988765,-0.0649161189795,0.392953753471,0.00251057720743,5.23991730006e-08
1493994104677937452,-0.00264031230472,0.0299970582128,0.000348753877915,0.360254496336,-1.37806898692e-06,-1.19067067317e-06
1493994104727794840,-0.000814892817289,0.032295782119,0.000218628309085,0.425497770309,4.84911015519e-06,2.38507072936e-06
1493994104779112259,-0.000309414608637,0.0335886515677,0.000402658421081,0.425573825836,-5.0831489018e-10,-6.80679548282e-08
1493994104828427749,-0.000109788539703,0.0340837426484,0.000424393627327,0.42558786273,-1.6761077859e-08,-4.41263825479e-09
1493994104877642317,0.000328712834744,0.0372030176222,0.000570243457332,0.490936696529,-5.57084013053e-06,2.35639936363e-06
1493994104927678428,0.000134581961902,0.0387340858579,0.000462148862425,0.491047352552,-3.20381032815e-09,-6.70700543992e-08
1493994104978017162,0.00151336402632,0.0391505621374,0.0331500172615,0.491070717573,-0.00125706393737,-5.13948394953e-09
1493994105028641617,0.000633445102721,0.0381664894521,0.000547493924387,0.458390831947,-1.18096738788e-06,-1.18933348858e-06
1493994105079273474,0.000247799238423,0.0374678000808,0.000479070848087,0.458355635405,1.93057037023e-08,2.31082246671e-08
1493994105128293674,0.000101826706668,0.0372003950179,0.000465930817882,0.458350032568,-2.29689103293e-08,-8.38348590548e-09
1493994105177534293,-0.0014097642852,0.0372630469501,-0.0322043448687,0.458341926336,0.00125709269196,-7.39937044969e-09
1493994105227603859,-0.00216613477096,0.0371223427355,-0.0321866311133,0.458358734846,0.00125527626369,-6.82080791847e-09
1493994105277985475,-0.00553876161575,0.0359487012029,-0.0976337194443,0.425708174706,0.0037724848371,-1.18879586353e-06
1493994105327922971,-0.00701303267851,0.0349860452116,-0.0975503772497,0.425699084997,0.00376586522907,2.34042847325e-08
