%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.phi,field.theta,field.psi,field.u,field.v,field.p,field.q,field.r
1495284164948683034,2,0,,-39.4040222168,-49.5243873596,0.00653457269073,-0.0166183561087,2.25273346901,-0.241987347603,-0.00284918956459,0.0371843650937,-0.0500141531229,-0.0922024026513
1495284165045879682,3,0,,-39.378944397,-49.5554656982,0.0232549253851,-0.0204245559871,2.26410508156,-0.399193257093,-0.0113007295877,0.167203530669,-0.0380619838834,-0.313590496778
1495284165150997798,4,0,,-39.3450737,-49.5991325378,0.0278404783458,-0.0213890019804,2.27226758003,-0.552492022514,-0.0112075293437,0.0458555296063,-0.00964446831495,-0.53848618269
1495284165251038452,5,0,,-39.3029212952,-49.6553955078,0.0247830338776,-0.0210992265493,2.27758717537,-0.702926814556,-0.0120734972879,-0.0305744484067,0.00289775291458,-0.756292641163
1495284165269369065,6,0,,-39.2529907227,-49.7242507935,0.0223463028669,-0.0206933077425,2.27720546722,-0.850425958633,-0.0145927304402,-0.0243673101068,0.00405918480828,-0.96547460556
1495284165325467889,7,0,,-39.1962890625,-49.8060073853,0.0223309006542,-0.0204834360629,2.27693152428,-0.994808018208,-0.0167264230549,-0.000154007022502,0.00209871260449,-1.16854822636
1495284165344142959,8,0,,-39.1335449219,-49.9007301331,0.023218985647,-0.02040046826,2.28033208847,-1.13602769375,-0.0177280399948,0.00888083688915,0.000829677679576,-1.36705005169
1495284165448749069,9,0,,-39.0650482178,-50.0081787109,0.0239392779768,-0.0203389041126,2.27521157265,-1.27414321899,-0.0179816950113,0.00720292236656,0.000615647586528,-1.56109130383
1495284165546350237,10,0,,-38.9923362732,-50.1289100647,0.0244420077652,-0.0202608276159,2.27480578423,-1.40924215317,-0.0179242547601,0.00502730254084,0.000780768168624,-1.75048661232
1495284165645777825,11,0,,-38.9154777527,-50.2625350952,0.0249559376389,-0.0201719459146,2.27644562721,-1.54140305519,-0.0177011527121,0.00513930851594,0.000888823124114,-1.93528282642
1495284165759557657,12,0,,-38.8347244263,-50.4088020325,0.0255643669516,-0.020083501935,2.27606987953,-1.67069160938,-0.0173172652721,0.00608427682891,0.000884431006853,-2.11567306519
1495284165847494258,13,0,,-38.750869751,-50.5677642822,0.026230333373,-0.0199991166592,2.27750849724,-1.79716777802,-0.0167836342007,0.0066596660763,0.000843849091325,-2.29183554649
1495284165960132325,14,0,,-38.6640892029,-50.7391395569,0.0269103683531,-0.0199177395552,2.27786707878,-1.92089164257,-0.0161379072815,0.00680035818368,0.000813770107925,-2.46389698982
1495284166060050827,15,0,,-38.5750083923,-50.9228820801,0.0275902785361,-0.0198380965739,2.27182722092,-2.04192280769,-0.0154180703685,0.00679909298196,0.000796436681412,-2.63196110725
1495284166157484167,16,0,,-38.4853019714,-51.1194152832,0.0282700974494,-0.0197598934174,2.2661678791,-2.1603205204,-0.0146494470537,0.00679819891229,0.000782028306276,-2.79612874985
1495284166256797355,17,0,,-38.3954467773,-51.3285484314,0.0289493259043,-0.0196832809597,2.26299476624,-2.27614164352,-0.0138477506116,0.00679228967056,0.00076612830162,-2.95650076866
1495284166267327465,18,0,,-38.3054161072,-51.5498847961,0.0296247862279,-0.0196083523333,2.26274514198,-2.38944292068,-0.0130245080218,0.00675460230559,0.000749284983613,-3.11317372322
1495284166325910822,19,0,,-38.2207870483,-51.7675170898,0.0324347317219,-0.00451492564753,2.25335836411,-2.33501505852,-0.0126844448969,0.0280994493514,0.150934264064,-3.26520752907
1495284166361087572,20,0,,-38.1378326416,-51.9984741211,0.0280040856451,-0.0130654722452,2.24479317665,-2.45404267311,-0.00994548387825,-0.0443064533174,-0.0855054706335,-3.41786146164
1495284166458008556,21,0,,-38.0566711426,-52.2415542603,0.0306098014116,-0.0189843829721,2.23627686501,-2.56268692017,-0.0112269409001,0.0260571427643,-0.0591891109943,-3.56129264832
1495284166556049655,22,0,,-37.9780845642,-52.4965591431,0.0334139876068,-0.020217962563,2.21834516525,-2.6683614254,-0.0102693336084,0.0280418563634,-0.0123357819393,-3.70381259918
1495284166661471511,23,0,,-37.9051246643,-52.7640533447,0.0337865501642,-0.0197960287333,2.19541311264,-2.77263641357,-0.00869062822312,0.00372562743723,0.00421932898462,-3.84417438507
1495284166757510469,24,0,,-37.8397903442,-53.0440444946,0.0335095264018,-0.0193579718471,2.17493724823,-2.87512898445,-0.00775556545705,-0.00277024670504,0.00438057119027,-3.9807407856
1495284166860055563,25,0,,-37.7820854187,-53.3359413147,0.0338198393583,-0.0191777870059,2.15834665298,-2.97547221184,-0.0071732965298,0.00310315634124,0.00180184177589,-4.11370038986
1495284166959041614,26,0,,-37.7315063477,-53.6391143799,0.0345496498048,-0.019123043865,2.1449368,-3.07359290123,-0.00650867726654,0.00729810353369,0.000547435658518,-4.24364376068
1495284167057051144,27,0,,-37.6876335144,-53.9530181885,0.0352661088109,-0.0190848950297,2.14459109306,-3.1695458889,-0.00571936368942,0.00716456538066,0.00038148931344,-4.37076282501
1495284167155003754,28,0,,-37.646686554,-54.2767791748,0.0358502566814,-0.0190329439938,2.12164640427,-3.26340222359,-0.00491867307574,0.00584150245413,0.000519520428497,-4.49502086639
1495284167248769099,29,0,,-37.6163825989,-54.6109275818,0.0363741889596,-0.0189720895141,2.10572552681,-3.35521745682,-0.00416129361838,0.00523930927739,0.000608537811786,-4.61641120911
1495284167256666612,30,0,,-37.5948905945,-54.9547615051,0.0368979945779,-0.018910638988,2.09336209297,-3.44503760338,-0.00343749532476,0.00523805618286,0.000614498450886,-4.73500013351
1495284167308971727,31,0,,-37.5813789368,-55.3077926636,0.0374267026782,-0.0188516546041,2.0782392025,-3.53290390968,-0.00272903591394,0.00528710475191,0.00058984325733,-4.85087156296
1495284167356249876,32,0,,-37.5771827698,-55.6696548462,0.0379471518099,-0.0187948588282,2.07074451447,-3.6188583374,-0.00203130417503,0.00520448386669,0.000567966839299,-4.96409416199
1495284167459273103,33,0,,-37.5798339844,-56.0399398804,0.0384531617165,-0.0187394581735,2.05930328369,-3.70294213295,-0.00134705740493,0.00506008602679,0.000554008875042,-5.07472801208
1495284167554359566,34,0,,-37.5910377502,-56.4182929993,0.0389458164573,-0.0186851397157,2.05193710327,-3.7851960659,-0.000678367621731,0.00492653949186,0.000543175439816,-5.1828289032
1495284167657299262,35,0,,-37.6094665527,-56.8044204712,0.0394272431731,-0.0186319220811,2.04490041733,-3.865660429,-2.51624951488e-05,0.00481429276988,0.000532187812496,-5.28845453262
1495284167756961028,36,0,,-37.6351737976,-57.1980209351,0.0398981869221,-0.0185798536986,2.0351228714,-3.94437384605,0.000613301119301,0.00470943422988,0.000520672241691,-5.39166259766
1495284167855537111,37,0,,-37.6694068909,-57.5986976624,0.0403586030006,-0.0185289364308,2.03166723251,-4.02137422562,0.00123750732746,0.00460415286943,0.000509186997078,-5.49250841141
1495284167956871575,38,0,,-37.7097702026,-58.0063743591,0.0408084951341,-0.0184791330248,2.03173971176,-4.09669923782,0.00184768892359,0.00449890550226,0.000498034060001,-5.59104585648
1495284168071727452,39,0,,-37.7548789978,-58.4209671021,0.0412480682135,-0.0184304118156,2.03097629547,-4.17038536072,0.00244405469857,0.00439575267956,0.000487203098601,-5.68732833862
1495284168158344472,40,0,,-37.8051071167,-58.8422279358,0.0416776016355,-0.0183827504516,2.03048038483,-4.24246788025,0.00302686984651,0.00429533421993,0.000476618588436,-5.78140687943
1495284168249631849,41,0,,-37.860370636,-59.2699737549,0.042097337544,-0.0183361247182,2.02683901787,-4.31298208237,0.00359642808326,0.00419736187905,0.000466250407044,-5.87333202362
