%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.phi,field.theta,field.psi,field.u,field.v,field.p,field.q,field.r
1495214142577218994,2,0,,-39.3549423218,-49.5014533997,-0.00677497358993,0.0230448860675,0.091787442565,0.335655063391,0.0031268610619,-0.0460129790008,0.0692189782858,0.0918887853622
1495214142671816778,3,0,,-39.3053131104,-49.4959449768,-0.00718143582344,0.0234974678606,0.103058502078,0.499311625957,0.00246843253262,-0.00406462047249,0.00452582305297,0.138353690505
1495214142776283418,4,0,,-39.2397384644,-49.4877052307,-0.00530663551763,0.0225202664733,0.0803867504001,0.660903215408,0.00241089542396,0.0187480039895,-0.00977201480418,0.183107510209
1495214142873433271,5,0,,-39.1586647034,-49.4790153503,-0.00432564876974,0.0215532723814,0.0906177833676,0.815385401249,0.0031198670622,0.00980986841023,-0.00966994464397,0.225542828441
1495214142978900239,6,0,,-39.065574646,-49.4676704407,-0.00477587198839,0.0185860004276,0.0852633938193,0.937767863274,0.00373719888739,-0.00450223404914,-0.0296727120876,0.266611814499
1495214143075939259,7,0,,-38.9625205994,-49.4552879333,-0.00493252836168,0.0155282560736,0.088603310287,1.03795170784,0.00372368842363,-0.00156656233594,-0.0305774435401,0.307315558195
1495214143173849194,8,0,,-38.8514099121,-49.4411468506,-0.00486283423379,0.0131161650643,0.0992964878678,1.1200915575,0.00368306995369,0.000696940056514,-0.0241209100932,0.347033023834
1495214143277382893,9,0,,-38.7341575623,-49.4245033264,-0.00496778916568,0.0110049527138,0.11633464694,1.18425965309,0.00370392482728,-0.00104954780545,-0.0211121272296,0.38564530015
1495214143295107073,10,0,,-38.6110420227,-49.4044380188,-0.00496416911483,0.0104372072965,0.121304899454,1.24739909172,0.00360346352682,3.61963866453e-05,-0.0056774537079,0.423461318016
1495214143361482623,11,0,,-36.6233100891,-45.6603355408,3.60135959454e-06,0.0157694723457,0.133462786674,0.807156443596,-0.0407399125397,0.0496777072549,0.0533226579428,0.414880275726
