%time,field.supply,field.xgyro,field.ygyro,field.zgyro,field.xaccl,field.yaccl,field.zaccl,field.xmagn,field.ymagn,field.zmagn,field.temp,field.adc
1493994104201904711,4.34998178482,-1.85000002384,-17.6499996185,-4.65000009537,0.0,-0.490509003401,-9.71207809448,0.185000002384,-0.109499998391,-0.571500003338,29.6800003052,0.0
1493994104201999555,4.38141584396,-3.34999990463,-16.4500007629,-4.75,0.0,-0.555910229683,-9.67937755585,0.188500002027,-0.110500000417,-0.571500003338,29.6800003052,0.0
1493994104202092095,4.3451461792,-9.39999961853,-15.25,-4.90000009537,0.0,-0.457808405161,-9.64667701721,0.188500002027,-0.110500000417,-0.570999979973,29.6800003052,0.0
1493994104202964133,4.36932611465,-8.94999980927,-14.25,-5.15000009537,0.0327005982399,-0.392407208681,-9.71207809448,0.189999997616,-0.108499996364,-0.570999979973,29.6800003052,0.0
1493994104226817725,4.3451461792,-7.94999980927,-14.8000001907,-6.34999990463,0.0327005982399,-0.425107806921,-9.77747917175,0.190999999642,-0.108000002801,-0.570500016212,29.5400009155,0.0
1493994104251248137,4.3451461792,-7.94999980927,-14.8000001907,-6.34999990463,0.0327005982399,-0.425107806921,-9.77747917175,0.190999999642,-0.108000002801,-0.570500016212,29.5400009155,0.0
1493994104306907868,4.3451461792,-7.94999980927,-14.8000001907,-6.34999990463,0.0327005982399,-0.425107806921,-9.77747917175,0.190999999642,-0.108000002801,-0.570500016212,29.5400009155,0.0
1493994104326502050,4.38383388519,-4.09999990463,-15.8500003815,-5.90000009537,0.0654011964798,-0.457808405161,-9.81017971039,0.19050000608,-0.107500001788,-0.570999979973,29.6800003052,0.0
1493994104435595322,4.37174415588,-8.35000038147,-17.0499992371,-5.55000019073,0.0654011964798,-0.457808405161,-9.77747917175,0.186499997973,-0.108499996364,-0.572000026703,29.5400009155,0.0
1493994104532982287,4.38625192642,-5.30000019073,-17.1499996185,-5.65000009537,0.0654011964798,-0.392407208681,-9.67937755585,0.185000002384,-0.107000000775,-0.572000026703,29.6800003052,0.0
1493994104634117215,4.36932611465,-5.90000009537,-16.25,-5.75,0.0,-0.359706610441,-9.64667701721,0.185000002384,-0.107000000775,-0.572499990463,29.6800003052,0.0
