%time,field.speed,field.yaw
1495801448345339563,1.5,-0.935748517513
1495801448844589224,1.5,-0.938668966293
1495801449344605604,1.5,-0.941507577896
1495801449845145230,1.5,-0.939358949661
1495801450345087926,1.5,-0.973175227642
1495801450845100464,1.5,-1.1396112442
1495801451344604554,1.5,-1.50380587578
1495801451844955681,1.5,-0.744152545929
1495801452344400130,1.5,-0.766558051109
1495801452844477268,1.5,-0.806055188179
1495801453344936650,1.5,-0.830269575119
1495801453844724159,1.5,-0.896766841412
1495801454344486452,1.5,-1.05863881111
1495801454844098800,1.5,-1.15334320068
1495801455344160714,1.5,-0.399634629488
1495801455845299160,1.5,0.0774911120534
1495801456344645272,1.5,0.596086144447
1495801456845420757,1.5,0.943621337414
1495801457345247233,1.5,-1.08843994141
1495801457844964691,1.5,-1.16592848301
1495801458344544143,1.5,-1.30702400208
1495801458845156335,1.5,-1.79611575603
1495801459344342092,1.5,-2.05071616173
1495801459844700344,1.5,-2.23234963417
1495801460344386859,1.5,-2.30808758736
1495801460847194094,1.5,-2.31585288048
