%time,field.supply,field.xgyro,field.ygyro,field.zgyro,field.xaccl,field.yaccl,field.zaccl,field.xmagn,field.ymagn,field.zmagn,field.temp,field.adc
1494226655918163579,4.41284990311,-1.95000004768,-15.6000003815,-3.5,-0.588610827923,-0.621311426163,-9.64667701721,-0.230000004172,-0.0384999997914,-0.503000020981,4.34000015259,0.805999994278
1494226655969045119,4.39592409134,-3.04999995232,-16.0,-5.30000019073,-0.588610827923,-0.686712622643,-9.74477863312,-0.230499997735,-0.0384999997914,-0.503000020981,4.34000015259,0.805999994278
1494226656069019773,4.41284990311,-2.0,-16.25,-4.25,-0.588610827923,-0.621311426163,-9.58127593994,-0.230499997735,-0.0390000008047,-0.503000020981,4.34000015259,0.805999994278
1494226656169151780,4.36932611465,-6.65000009537,-16.4500007629,-5.80000019073,-0.654012024403,-0.588610827923,-9.81017971039,-0.231000006199,-0.0395000018179,-0.503000020981,4.34000015259,0.0
1494226656220667759,4.36932611465,-6.65000009537,-16.4500007629,-5.80000019073,-0.654012024403,-0.588610827923,-9.81017971039,-0.231000006199,-0.0395000018179,-0.503000020981,4.34000015259,0.0
1494226656231985120,4.36932611465,-6.65000009537,-16.4500007629,-5.80000019073,-0.654012024403,-0.588610827923,-9.81017971039,-0.231000006199,-0.0395000018179,-0.503000020981,4.34000015259,0.0
1494226656271256175,4.38141584396,-5.0,-17.2999992371,-6.09999990463,-0.654012024403,-0.555910229683,-9.77747917175,-0.232500001788,-0.0405000001192,-0.504000008106,4.34000015259,0.0
1494226656371050080,4.3644900322,-5.90000009537,-16.6000003815,-6.5,-0.686712622643,-0.686712622643,-9.64667701721,-0.233500003815,-0.0419999994338,-0.504000008106,4.34000015259,0.805999994278
1494226656471050506,4.38625192642,-4.90000009537,-17.0499992371,-5.5,-0.654012024403,-0.588610827923,-9.74477863312,-0.233999997377,-0.0410000011325,-0.504000008106,4.48000001907,0.805999994278
1494226656568892767,4.36932611465,-6.05000019073,-17.2000007629,-5.59999990463,-0.654012024403,-0.490509003401,-9.67937755585,-0.234999999404,-0.0405000001192,-0.503499984741,4.34000015259,0.805999994278
1494226656671046330,4.39108800888,-3.29999995232,-16.2000007629,-5.80000019073,-0.686712622643,-0.523209571838,-9.64667701721,-0.234500005841,-0.0405000001192,-0.503000020981,4.34000015259,0.805999994278
1494226656770027422,4.37174415588,-6.55000019073,-16.4500007629,-4.84999990463,-0.686712622643,-0.588610827923,-9.77747917175,-0.233500003815,-0.0390000008047,-0.50150001049,4.34000015259,0.805999994278
1494226656869600839,4.38383388519,-4.09999990463,-17.2999992371,-4.94999980927,-0.686712622643,-0.457808405161,-9.74477863312,-0.233500003815,-0.0379999987781,-0.500999987125,4.34000015259,0.805999994278
1494226656969632065,4.36207199097,-6.25,-16.5,-5.59999990463,-0.686712622643,-0.359706610441,-9.61397647858,-0.233999997377,-0.0375000014901,-0.500999987125,4.34000015259,0.805999994278
1494226657078020010,4.38141584396,-4.0,-16.1000003815,-4.09999990463,-0.621311426163,-0.784814417362,-9.81017971039,-0.234500005841,-0.0375000014901,-0.500999987125,4.34000015259,0.805999994278
1494226657168967190,4.3644900322,-6.09999990463,-15.4499998093,-3.04999995232,-0.752113819122,-0.392407208681,-9.54857540131,-0.234500005841,-0.0364999994636,-0.500500023365,4.34000015259,0.805999994278
1494226657208401464,4.3644900322,-6.09999990463,-15.4499998093,-3.04999995232,-0.752113819122,-0.392407208681,-9.54857540131,-0.234500005841,-0.0364999994636,-0.500500023365,4.34000015259,0.805999994278
1494226657228676110,4.3644900322,-6.09999990463,-15.4499998093,-3.04999995232,-0.752113819122,-0.392407208681,-9.54857540131,-0.234500005841,-0.0364999994636,-0.500500023365,4.34000015259,0.805999994278
1494226657277456265,4.38625192642,-2.90000009537,-15.3999996185,-4.15000009537,-0.686712622643,-0.294305413961,-9.77747917175,-0.234500005841,-0.0364999994636,-0.502499997616,4.19999980927,0.805999994278
1494226657369822760,4.36932611465,-7.30000019073,-16.7999992371,-5.09999990463,-0.686712622643,-0.392407208681,-9.81017971039,-0.234500005841,-0.0359999984503,-0.503000020981,4.34000015259,0.0
1494226657477011181,4.38866996765,-4.34999990463,-17.3500003815,-5.19999980927,-0.654012024403,-0.490509003401,-9.71207809448,-0.235499992967,-0.035000000149,-0.502499997616,4.34000015259,0.805999994278
1494226657570893440,4.3644900322,-7.90000009537,-17.25,-4.84999990463,-0.719413220882,-0.392407208681,-9.74477863312,-0.236499994993,-0.0340000018477,-0.501999974251,4.34000015259,0.805999994278
1494226657677426261,4.38141584396,-4.80000019073,-16.8999996185,-5.09999990463,-0.719413220882,-0.392407208681,-9.71207809448,-0.237000003457,-0.0324999988079,-0.50150001049,4.34000015259,0.805999994278
1494226657777502605,4.36207199097,-8.0,-16.6499996185,-5.34999990463,-0.654012024403,-0.425107806921,-9.48317432404,-0.236499994993,-0.0309999994934,-0.499500006437,4.34000015259,0.805999994278
1494226657877812428,4.38866996765,-5.30000019073,-16.3500003815,-5.25,-0.752113819122,-0.261604785919,-9.71207809448,-0.236000001431,-0.0289999991655,-0.499500006437,4.34000015259,0.805999994278
1494226657977836321,4.36690807343,-6.80000019073,-15.1499996185,-5.30000019073,-0.784814417362,-0.13080239296,-9.81017971039,-0.236000001431,-0.0280000008643,-0.499500006437,4.34000015259,0.805999994278
1494226658076532670,4.38866996765,-1.10000002384,-13.8500003815,-5.15000009537,-0.621311426163,-0.327006012201,-9.64667701721,-0.234500005841,-0.0280000008643,-0.500500023365,4.34000015259,0.0
1494226658176459902,4.3644900322,-4.65000009537,-15.5,-4.40000009537,-0.686712622643,-0.359706610441,-9.84288024902,-0.233500003815,-0.0295000001788,-0.50150001049,4.34000015259,0.805999994278
1494226658228031405,4.3644900322,-4.65000009537,-15.5,-4.40000009537,-0.686712622643,-0.359706610441,-9.84288024902,-0.233500003815,-0.0295000001788,-0.50150001049,4.34000015259,0.805999994278
1494226658248266240,4.3644900322,-4.65000009537,-15.5,-4.40000009537,-0.686712622643,-0.359706610441,-9.84288024902,-0.233500003815,-0.0295000001788,-0.50150001049,4.34000015259,0.805999994278
1494226658277650913,4.37899780273,-3.65000009537,-16.3500003815,-4.09999990463,-0.752113819122,-0.196203604341,-9.74477863312,-0.233999997377,-0.0295000001788,-0.503000020981,4.34000015259,0.805999994278
1494226658378211536,4.3644900322,-4.0,-15.4499998093,-4.65000009537,-0.621311426163,-0.196203604341,-9.64667701721,-0.233999997377,-0.0299999993294,-0.503499984741,4.34000015259,0.805999994278
1494226658478148686,4.38383388519,-3.54999995232,-16.7999992371,-4.84999990463,-0.588610827923,-0.327006012201,-9.87558078766,-0.233999997377,-0.0305000003427,-0.504000008106,4.34000015259,0.805999994278
1494226658576579219,4.36932611465,-6.19999980927,-17.6000003815,-5.34999990463,-0.654012024403,-0.163503006101,-9.77747917175,-0.234999999404,-0.0299999993294,-0.503499984741,4.34000015259,0.0
1494226658677487861,4.39108800888,-1.64999997616,-16.5499992371,-5.80000019073,-0.686712622643,-0.457808405161,-9.54857540131,-0.236000001431,-0.0315000005066,-0.502499997616,4.34000015259,0.0
1494226658777786510,4.37174415588,-4.90000009537,-16.3999996185,-4.44999980927,-0.752113819122,-0.523209571838,-9.77747917175,-0.235499992967,-0.0320000015199,-0.500500023365,4.34000015259,0.805999994278
1494226658877611355,4.38383388519,-3.34999990463,-16.0499992371,-4.19999980927,-0.784814417362,-0.22890420258,-9.64667701721,-0.234999999404,-0.0315000005066,-0.500500023365,4.34000015259,0.805999994278
1494226658977263971,4.36207199097,-5.65000009537,-15.6999998093,-5.0,-0.686712622643,-0.392407208681,-9.67937755585,-0.234999999404,-0.0320000015199,-0.500500023365,4.34000015259,0.0
1494226659076441946,4.38383388519,-1.89999997616,-15.8000001907,-4.59999990463,-0.654012024403,-0.457808405161,-9.77747917175,-0.234999999404,-0.0320000015199,-0.500999987125,4.34000015259,0.0
1494226659177977833,4.36690807343,-3.29999995232,-14.5500001907,-4.05000019073,-0.686712622643,-0.457808405161,-9.48317432404,-0.234500005841,-0.0329999998212,-0.50150001049,4.34000015259,0.805999994278
1494226659207619871,4.36690807343,-3.29999995232,-14.5500001907,-4.05000019073,-0.686712622643,-0.457808405161,-9.48317432404,-0.234500005841,-0.0329999998212,-0.50150001049,4.34000015259,0.805999994278
1494226659228014503,4.36690807343,-3.29999995232,-14.5500001907,-4.05000019073,-0.686712622643,-0.457808405161,-9.48317432404,-0.234500005841,-0.0329999998212,-0.50150001049,4.34000015259,0.805999994278
1494226659276725795,4.38625192642,3.29999995232,-12.6499996185,-3.84999990463,-0.523209571838,-0.425107806921,-9.64667701721,-0.232999995351,-0.0359999984503,-0.504999995232,4.34000015259,0.805999994278
1494226659386608553,4.37174415588,-3.09999990463,-16.3999996185,-4.5,-0.621311426163,-0.654012024403,-10.1698865891,-0.231499999762,-0.0395000018179,-0.507499992847,4.34000015259,0.805999994278
1494226659477775594,4.38866996765,-3.79999995232,-18.2999992371,-4.84999990463,-0.752113819122,-0.359706610441,-9.64667701721,-0.232500001788,-0.0395000018179,-0.506500005722,4.34000015259,0.805999994278
1494226659586629869,4.36690807343,-6.80000019073,-18.2999992371,-5.90000009537,-0.621311426163,-0.621311426163,-9.74477863312,-0.234500005841,-0.0395000018179,-0.505500018597,4.34000015259,0.805999994278
1494226659678795360,4.38383388519,-4.94999980927,-17.3500003815,-5.69999980927,-0.621311426163,-0.588610827923,-9.67937755585,-0.236000001431,-0.0390000008047,-0.504499971867,4.34000015259,0.0
1494226659787886677,4.3644900322,-4.90000009537,-16.25,-5.65000009537,-0.686712622643,-0.523209571838,-9.58127593994,-0.236000001431,-0.0384999997914,-0.501999974251,4.19999980927,0.805999994278
1494226659879201501,4.39108800888,-2.5,-15.3000001907,-4.30000019073,-0.686712622643,-0.654012024403,-9.71207809448,-0.235499992967,-0.0384999997914,-0.501999974251,4.34000015259,0.805999994278
1494226659988078405,4.36932611465,-7.90000009537,-16.0499992371,-4.55000019073,-0.686712622643,-0.523209571838,-9.74477863312,-0.234999999404,-0.0379999987781,-0.501999974251,4.34000015259,0.805999994278
1494226660087352482,4.39108800888,-2.75,-15.8999996185,-4.34999990463,-0.654012024403,-0.490509003401,-9.81017971039,-0.234999999404,-0.0375000014901,-0.502499997616,4.34000015259,0.805999994278
1494226660187458927,4.3644900322,-5.69999980927,-17.0499992371,-4.75,-0.588610827923,-0.588610827923,-9.74477863312,-0.234999999404,-0.0375000014901,-0.501999974251,4.34000015259,0.0
1494226660219867098,4.3644900322,-5.69999980927,-17.0499992371,-4.75,-0.588610827923,-0.588610827923,-9.74477863312,-0.234999999404,-0.0375000014901,-0.501999974251,4.34000015259,0.0
1494226660230121545,4.3644900322,-5.69999980927,-17.0499992371,-4.75,-0.588610827923,-0.588610827923,-9.74477863312,-0.234999999404,-0.0375000014901,-0.501999974251,4.34000015259,0.0
1494226660287290756,4.38141584396,-5.09999990463,-17.2000007629,-5.30000019073,-0.686712622643,-0.457808405161,-9.61397647858,-0.236000001431,-0.0370000004768,-0.503000020981,4.34000015259,0.805999994278
1494226660387064966,4.3644900322,-7.05000019073,-17.3999996185,-5.94999980927,-0.719413220882,-0.588610827923,-9.74477863312,-0.237000003457,-0.0375000014901,-0.503000020981,4.34000015259,0.805999994278
1494226660487094935,4.38625192642,-3.0,-15.8500003815,-5.25,-0.719413220882,-0.523209571838,-9.71207809448,-0.23749999702,-0.0370000004768,-0.502499997616,4.34000015259,0.805999994278
1494226660588303965,4.37174415588,-6.69999980927,-15.6499996185,-5.25,-0.719413220882,-0.457808405161,-9.74477863312,-0.23749999702,-0.0370000004768,-0.502499997616,4.34000015259,0.0
1494226660687223178,4.39108800888,-4.05000019073,-16.5,-4.84999990463,-0.686712622643,-0.457808405161,-9.87558078766,-0.237000003457,-0.0359999984503,-0.502499997616,4.34000015259,0.805999994278
1494226660787431521,4.37174415588,-5.80000019073,-16.3500003815,-5.15000009537,-0.686712622643,-0.425107806921,-9.58127593994,-0.236499994993,-0.0355000011623,-0.500500023365,4.34000015259,0.0
1494226660887194208,4.38625192642,-2.09999990463,-15.25,-4.94999980927,-0.719413220882,-0.588610827923,-9.61397647858,-0.236000001431,-0.0355000011623,-0.500500023365,4.34000015259,0.805999994278
