%time,field.roll,field.pitch,field.yaw,field.rolld,field.pitchd,field.yawd,field.rolldd,field.pitchdd,field.yawdd
1494579064376444171,0.488862507351,0.070703863859,-1.64705843846,9.84315189887,0.823256518117,-3.09329136489,-16.4629386598,-5.30614641266,0.734647964998
1494579064425254847,0.494797341179,0.0728495650811,-1.66938698197,9.73145461926,0.900163115042,-3.0309655362,-16.2761219286,-5.8018335459,0.719845756666
1494579064475145968,0.493258644189,0.0765349413796,-1.66949360112,9.70822240478,0.949992037785,-3.00239774306,-16.2372654194,-6.12299657813,0.71306098646
1494579064525051058,0.216522930761,0.0826171569198,-1.65964073528,4.03478875031,0.986466226555,-2.58778921551,-6.74829367503,-6.35808416218,0.614592631848
1494579064575355220,0.138446268052,0.0843661754629,-1.64977899674,2.85695305776,1.01009869318,-2.40044641767,-4.77833151688,-6.51040282015,0.570099246338
1494579064625788589,0.0304519030178,0.0837997058617,-1.69071228048,1.01815603848,0.997737222163,-3.46774090705,-1.70289360357,-6.43072926318,0.823578673972
1494579064674931430,0.00514922327085,0.0831898281271,-1.71713773858,0.636481315821,0.989491969323,-3.94973780454,-1.0645322726,-6.37758602312,0.938051576168
1494579064725518589,-0.0866085608027,0.0788491235217,-1.63795128176,-1.00163936274,0.975573045258,-3.57670833978,1.67526901519,-6.28787419288,0.849458131567
1494579064775569577,-0.109150445845,0.0781843390738,-1.62438522569,-1.34167708555,0.966596782533,-3.40935168746,2.24399133404,-6.23001936487,0.809711399186
1494579064825150812,-0.0389516977677,0.0748894470777,-1.37006003053,0.182038074606,0.969702637515,-3.8914592263,-0.304463619659,-6.25003757416,0.924210578391
1494579064874799444,-0.0179820751266,0.075059308965,-1.36378888038,0.498385301916,0.97200958639,-4.1138318423,-0.833562941899,-6.26490658306,0.977023446803
1494579064925579994,0.0393493098432,0.075896156287,-1.4742338553,1.59148653516,0.986103733044,-3.27956790595,-2.66180441747,-6.35574777783,0.778888117533
1494579064975349800,0.0543918077353,0.0765868544911,-1.46308463647,1.81840505151,0.995441062901,-2.90038131994,-3.04133179384,-6.41592979672,0.688832374019
1494579065025542356,0.208305155079,0.0753161650589,-1.5669291384,4.87696456799,1.0276154966,-3.45387682451,-8.15685558383,-6.62330411106,0.820285993515
1494579065075376906,0.250395801575,0.0769092016899,-1.58614716363,5.51192021196,1.04916098108,-3.70243077455,-9.21883612885,-6.76217151464,0.879316854836
1494579065124658382,0.225947423396,0.0821943027932,-1.61413772743,4.93512690605,1.07677721669,-2.69065052672,-8.25413367256,-6.94016681294,0.639021902821
1494579065175459325,0.21800920982,0.0835290928034,-1.59354466988,4.81536747186,1.0948106716,-2.23258575889,-8.05383276903,-7.05639808467,0.530232813847
1494579065226437875,0.326085213064,0.0843108060763,-1.61055098134,6.73915390326,1.10509929169,-2.16013314523,-11.2714177804,-7.12271146744,0.513025522678
1494579065275426437,0.352558050416,0.0848141551944,-1.62368156839,7.13848833159,1.11190338631,-2.12732432154,-11.9393154483,-7.16656599086,0.505233519689
1494579065325043920,0.150927121033,0.0943538674251,-1.62852502824,3.04075216856,1.10128235939,-1.87143727552,-5.08574051735,-7.09811014188,0.444461068779
