%time,field.speed,field.yaw
1495895521650964962,1.0,1.83847546577
1495895522150190806,1.0,1.88015174866
1495895522650176524,1.0,1.91994309425
1495895523150771049,1.0,1.96118140221
1495895523649923981,1.0,1.97004318237
1495895524150078990,1.0,1.75787913799
1495895524650090413,1.0,1.57309913635
1495895525150883977,1.0,1.40741336346
1495895525650681825,1.0,1.55273747444
1495895526150788442,1.0,1.73682594299
1495895526650608216,1.0,1.86840617657
1495895527151943758,1.0,1.8690636158
1495895527652024319,1.0,1.95377802849
1495895528152395277,1.0,1.85558724403
1495895528650671767,1.0,2.09906840324
1495895529150199182,1.0,2.23383307457
1495895529649996264,1.0,2.19959831238
1495895530151213701,1.0,2.04310202599
1495895530650807116,1.0,1.91551744938
1495895531151729686,1.0,1.74784088135
1495895531651422356,1.0,1.32164287567
1495895532150587719,1.0,0.574187755585
1495895532651175394,1.0,2.47340297699
1495895533150422682,1.0,2.32866454124
1495895533650626860,1.0,2.3058795929
1495895534150693107,1.0,2.26966238022
1495895534650665278,1.0,2.30662679672
