%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1493991945731515846,134543.40,44.0100647992,-504.261456176,9.97757276667,57.0151023817
1493991945935727848,134543.60,46.666375924,-492.339191725,9.97776995,57.0151263
1493991946137244675,134543.80,46.6300971294,-492.435933117,9.97776835,57.0151259733
1493991946331226256,134544.00,46.5997414034,-492.44802733,9.97776815,57.0151257
1493991946525653564,134544.20,46.5629073214,-492.501437643,9.97776726667,57.0151253683
1493991946731960455,134544.40,46.5294049651,-492.554847757,9.97776638333,57.0151250667
1493991946942182160,134544.60,46.4894242528,-492.613296761,9.97776541667,57.0151247067
1493991947159463562,134544.80,46.4612896777,-492.620352341,9.9777653,57.0151244533
1493991947342912239,134545.00,46.4505541159,-492.624383782,9.97776523333,57.0151243567
1493991947542201199,134545.20,46.4227897322,-492.622370038,9.97776526667,57.0151241067
1493991947735234545,134545.40,46.3978017875,-492.636479332,9.97776503333,57.0151238817
1493991947937925404,134545.60,46.3731840342,-492.646557804,9.97776486667,57.01512366
1493991948144711965,134545.80,46.3543042535,-492.639505028,9.97776498333,57.01512349
1493991948335350453,134546.00,46.31117691,-492.650592304,9.9777648,57.0151231017
1493991948532329413,134546.20,46.295628855,-492.641523928,9.97776495,57.0151229617
1493991948731714963,134546.40,46.2645327456,-492.63447188,9.97776506667,57.0151226817
1493991948936468026,134546.60,46.2900759791,-492.628424155,9.97776516667,57.0151229117
1493991949152599910,134546.80,46.2649029377,-492.632456458,9.9777651,57.015122685
1493991949329964084,134547.00,46.2467635404,-492.637496041,9.97776501667,57.0151225217
1493991949533301045,134547.20,46.2467635404,-492.636488341,9.97776503333,57.0151225217
1493991949734177567,134547.40,46.2543524719,-492.628426285,9.97776516667,57.01512259
1493991949936352927,134547.60,46.2545375679,-492.629433975,9.97776515,57.0151225917
1493991950140614936,134547.80,46.2449125815,-492.645557754,9.97776488333,57.015122505
1493991950345075224,134548.00,46.2365832666,-492.67075076,9.97776446667,57.01512243
1493991950529533457,134548.20,46.2301049092,-492.696951356,9.97776403333,57.0151223717
1493991950745257677,134548.40,46.2195544441,-492.719121393,9.97776366667,57.0151222767
1493991950936111137,134548.60,46.2147419516,-492.740283388,9.97776331667,57.0151222333
1493991951155659167,134548.80,46.2195544441,-492.735244599,9.9777634,57.0151222767
1493991951337678752,134549.00,46.221590499,-492.737259878,9.97776336667,57.015122295
1493991951552273010,134549.20,46.2238116499,-492.746329049,9.97776321667,57.015122315
1493991951742228870,134549.40,46.2301049092,-492.73625167,9.97776338333,57.0151223717
1493991951945922301,134549.60,46.2369534573,-492.735243561,9.9777634,57.0151224333
1493991952150504182,134549.80,46.2430616227,-492.736250897,9.97776338333,57.0151224883
1493991952338306905,134550.00,46.2478741166,-492.735242909,9.9777634,57.0151225317
1493991952535629344,134550.20,46.2486144993,-492.735242865,9.9777634,57.0151225383
1493991952741653308,134550.40,46.2563885268,-492.7312116,9.97776346667,57.0151226083
1493991952937964096,134550.60,46.2604606359,-492.741288361,9.9777633,57.015122645
1493991953159608622,134550.80,46.2697154302,-492.720126101,9.97776365,57.0151227283
1493991953335326358,134551.00,46.2671240879,-492.711056953,9.9777638,57.015122705
1493991953541478132,134551.20,46.2619414034,-492.710049561,9.97776381667,57.0151226583
1493991953729760176,134551.40,46.2587947737,-492.693926544,9.97776408333,57.01512263
1493991953934082038,134551.60,46.2554630473,-492.692919042,9.9777641,57.0151226
1493991954142343438,134551.80,46.2532418971,-492.68082677,9.9777643,57.01512258
1493991954335474352,134552.00,46.2399149923,-492.671758262,9.97776445,57.01512246
1493991954531931876,134552.20,46.2360279785,-492.673773894,9.97776441667,57.015122425
1493991954741784051,134552.40,46.224552034,-492.661682175,9.97776461667,57.0151223217
1493991954929844348,134552.60,46.2199246361,-492.652613147,9.97776476667,57.01512228
1493991955134700636,134552.80,46.2056722533,-492.633467691,9.97776508333,57.0151221517
1493991955334294733,134553.00,46.2003044713,-492.624398708,9.97776523333,57.0151221033
1493991955537847084,134553.20,46.191049677,-492.612306855,9.97776543333,57.01512202
1493991955739794343,134553.40,46.1842011289,-492.605253361,9.97776555,57.0151219583
1493991955956304627,134553.60,46.1801290198,-492.601222803,9.97776561667,57.0151219217
1493991956142475019,134553.80,46.169393458,-492.583084836,9.97776591667,57.015121825
1493991956339496791,134554.00,46.1629151019,-492.573008219,9.97776608333,57.0151217667
1493991956536682481,134554.20,46.1682828825,-492.560915495,9.97776628333,57.015121815
1493991956737245625,134554.40,46.1575473214,-492.551846831,9.97776643333,57.0151217183
1493991956938630522,134554.60,46.1606939517,-492.543785041,9.97776656667,57.0151217467
1493991957163872433,134554.80,46.1510689653,-492.528670109,9.97776681667,57.01512166
1493991957343542557,134555.00,46.1506987733,-492.520608528,9.97776695,57.0151216567
1493991957539748722,134555.20,46.1495881971,-492.512546992,9.97776708333,57.0151216467
1493991957743099512,134555.40,46.1399632114,-492.509524464,9.97776713333,57.01512156
1493991957944040218,134555.60,46.1368165811,-492.498439948,9.97776731667,57.0151215317
1493991958136945824,134555.80,46.1312637045,-492.489370976,9.97776746667,57.0151214817
1493991958343705846,134556.00,46.1275617868,-492.483324994,9.97776756667,57.0151214483
1493991958538789033,134556.20,46.1231194856,-492.471232855,9.97776776667,57.0151214083
1493991958739446463,134556.40,46.1214536221,-492.464179052,9.97776788333,57.0151213933
1493991958944550409,134556.60,46.1227492936,-492.45107887,9.9777681,57.015121405
1493991959152613738,134556.80,46.1140497859,-492.432940782,9.9777684,57.0151213267
1493991959347008570,134557.00,46.104609897,-492.416818139,9.97776866667,57.0151212417
1493991959542023732,134557.20,46.1133094032,-492.399686713,9.97776895,57.01512132
1493991959735759542,134557.40,46.1146050754,-492.387594232,9.97776915,57.0151213317
1493991959943412205,134557.60,46.1068310465,-492.37348689,9.97776938333,57.0151212617
1493991960153580412,134557.80,46.104980089,-492.353332993,9.97776971667,57.015121245
1493991960334142758,134558.00,46.1060906638,-492.343255923,9.97776988333,57.015121255
1493991960536064385,134558.20,46.1007228832,-492.333179239,9.97777005,57.0151212067
1493991960744314960,134558.40,46.0896171293,-492.322095197,9.97777023333,57.0151211067
1493991960936451753,134558.60,46.093133951,-492.314033385,9.97777036667,57.0151211383
1493991961140771869,134558.80,46.0920233763,-492.301941046,9.97777056667,57.0151211283
1493991961341319509,134559.00,46.0857301163,-492.288841317,9.97777078333,57.0151210717
1493991961537542646,134559.20,46.0905426087,-492.277756326,9.97777096667,57.015121115
1493991961734118481,134559.40,46.0862854029,-492.262641074,9.97777121667,57.0151210767
1493991961937010344,134559.60,46.086840691,-492.251556336,9.9777714,57.0151210817
1493991962149684944,134559.80,46.0896171293,-492.233417564,9.9777717,57.0151211067
1493991962384585346,134600.00,46.0914680875,-492.216286548,9.97777198333,57.0151211233
1493991962531586861,134600.20,46.0949849106,-492.201170832,9.97777223333,57.015121155
1493991962736683961,134600.40,46.1005377872,-492.191093498,9.9777724,57.015121205
1493991962937554617,134600.60,46.0951700052,-492.173962912,9.97777268333,57.0151211567
1493991963158809149,134600.80,46.0923935669,-492.15481677,9.977773,57.0151211317
1493991963339392937,134601.00,46.1012781706,-492.138693034,9.97777326667,57.0151212117
1493991963537018836,134601.20,46.1031291295,-492.124585119,9.9777735,57.0151212283
1493991963743705245,134601.40,46.1066459512,-492.115515606,9.97777365,57.01512126
1493991963936495404,134601.60,46.1090521974,-492.10745386,9.97777378333,57.0151212817
1493991964141748879,134601.80,46.1220089102,-492.098383784,9.97777393333,57.0151213983
1493991964324821112,134602.00,46.1234896777,-492.086291292,9.97777413333,57.0151214117
1493991964535631719,134602.20,46.1118286357,-492.073191882,9.97777435,57.0151213067
1493991964736018234,134602.40,46.1090521974,-492.066138145,9.97777446667,57.0151212817
1493991964931605955,134602.60,46.1073863353,-492.063115143,9.97777451667,57.0151212667
1493991965134625208,134602.80,46.1103478682,-492.051022562,9.97777471667,57.0151212933
1493991965334622079,134603.00,46.1007228832,-492.052030835,9.9777747,57.0151212067
1493991965543321314,134603.20,46.0949849106,-492.048000376,9.97777476667,57.015121155
1493991965734674767,134603.40,46.0883214571,-492.044977672,9.97777481667,57.015121095
1493991965934202934,134603.60,46.0803623343,-492.038931944,9.97777491667,57.0151210233
1493991966130984522,134603.80,46.0751796497,-492.030870649,9.97777505,57.0151209767
1493991966334349070,134604.00,46.0746243624,-492.031878383,9.97777503333,57.0151209717
1493991966524056155,134604.20,46.0622229377,-492.040948425,9.97777488333,57.01512086
1493991966732319440,134604.40,46.0553743896,-492.040948833,9.97777488333,57.0151207983
1493991966931888463,134604.60,46.0568551571,-492.029864041,9.97777506667,57.0151208117
1493991967151728081,134604.80,46.0463046906,-492.03188007,9.97777503333,57.0151207167
1493991967329610758,134605.00,46.0440835397,-492.033895603,9.977775,57.0151206967
1493991967533385274,134605.20,46.0422325808,-492.036918814,9.97777495,57.01512068
1493991967727859306,134605.40,46.0355691287,-492.041957713,9.97777486667,57.01512062
1493991967931822463,134605.60,46.0305715402,-492.04095031,9.97777488333,57.015120575
1493991968131687823,134605.80,46.0361244168,-492.038934579,9.97777491667,57.015120625
1493991968329999564,134606.00,46.0357542248,-492.034903799,9.97777498333,57.0151206217
1493991968535388112,134606.20,46.0296460608,-492.038934965,9.97777491667,57.0151205667
1493991968731679764,134606.40,46.0331628825,-492.040950156,9.97777488333,57.0151205983
1493991968928518272,134606.60,46.0361244168,-492.045988482,9.9777748,57.015120625
1493991969141833737,134606.80,46.0335330745,-492.041957834,9.97777486667,57.0151206017
1493991969330689456,134607.00,46.0376051843,-492.041957592,9.97777486667,57.0151206383
1493991969533458677,134607.20,46.0379753764,-492.038934469,9.97777491667,57.0151206417
