%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.phi,field.theta,field.psi,field.u,field.v,field.p,field.q,field.r
1495532169112899432,1115,0,,-14.165892601,-33.0118560791,-0.0192686468363,-0.000161229967489,5.45733118057,-0.237773656845,0.0232772156596,-0.219009056687,-0.00309485662729,0.224714368582
1495532169207769600,1116,0,,-14.1811599731,-32.9939498901,-0.0257798228413,-3.76966345357e-05,5.45759248734,-0.234481498599,0.01974898763,-0.0651117712259,0.00123533338774,0.451196312904
1495532169313725461,1117,0,,-14.1253890991,-33.0380439758,-0.0229695700109,6.32862929706e-06,5.44826745987,-0.227530047297,0.0212474092841,0.0281025357544,0.000440252624685,0.670442759991
1495532169322702023,1118,0,,-14.1404018402,-33.021194458,-0.0200899746269,-6.5008411184e-05,5.44353628159,-0.224623501301,0.0216392576694,0.0287959519774,-0.000713370449375,0.880529463291
1495532169400520157,1119,0,,-14.1554079056,-33.0047149658,-0.0202980209142,-0.000123550722492,5.4378490448,-0.221742153168,0.0224652569741,-0.00208045332693,-0.000585423025768,1.08426785469
1495532169408744946,1120,0,,-14.1704406738,-32.9886474609,-0.0216734930873,-0.000124094091007,5.43038654327,-0.218910112977,0.0223463419825,-0.0137547366321,-5.433775641e-06,1.28378176689
1495532169510196324,1121,0,,-14.1090526581,-33.0407752991,-0.0227485131472,-0.000106550141936,5.42399644852,-0.223412439227,0.0242536328733,-0.0107501922175,0.000175439505256,1.47914433479
1495532169608582091,1122,0,,-14.1245832443,-33.0249519348,-0.0228920429945,-9.38932207646e-05,5.41246080399,-0.22056274116,0.0227087624371,-0.00143529463094,0.000126569211716,1.66980981827
1495532169709638513,1123,0,,-14.0727567673,-33.0773048401,-0.0234718453139,-0.000102044032246,5.40596389771,-0.269476771355,0.0267348177731,-0.00579802040011,-8.15080784378e-05,1.85561835766
1495532169822068735,1124,0,,-14.092007637,-33.0588417053,-0.0233170501888,-7.79987094575e-05,5.40169858932,-0.265613734722,0.0242139063776,0.0015479408903,0.000240453155129,2.0368449688
1495532169908259237,1125,0,,-13.9956302643,-33.1100349426,-0.0241197329015,-7.92420178186e-05,5.39656448364,-0.237951219082,0.0230728313327,-0.00802683178335,-1.24330763356e-05,2.21345806122
1495532170022392045,1126,0,,-14.0130710602,-33.0941734314,-0.0252216942608,-9.13896074053e-05,5.38600301743,-0.234786912799,0.021181544289,-0.0110196024179,-0.000121475895867,2.38629794121
1495532170122519163,1127,0,,-13.9282436371,-33.1412124634,-0.0262908041477,-9.57000011113e-05,5.38344764709,-0.219618290663,0.0202769022435,-0.0106911091134,-4.31039370596e-05,2.5554420948
1495532170219890341,1128,0,,-13.9447135925,-33.1269836426,-0.0270378720015,-0.000101238845673,5.3786740303,-0.216850042343,0.0184287503362,-0.00747066596523,-5.53884237888e-05,2.72081017494
1495532170323620011,1129,0,,-13.869969368,-33.1700553894,-0.0278534386307,-0.000107135419967,5.37378406525,-0.170409053564,0.0158265568316,-0.0081556821242,-5.89656992815e-05,2.88236451149
1495532170353422685,1130,0,,-13.8830051422,-33.1592445374,-0.0289494916797,-0.000131591397803,5.36591720581,-0.168716713786,0.0147209027782,-0.0109605137259,-0.000244559865678,3.04038286209
1495532170421798633,1131,0,,-13.8942432404,-33.1504936218,-0.0180674251169,0.0021746463608,5.35898637772,-0.142243295908,0.00745080364868,0.108820647001,0.0230623781681,3.0785984993
1495532170430528024,1132,0,,-13.9034490585,-33.1431655884,-0.0155860381201,0.00303058256395,5.35398721695,-0.117466546595,0.00693205045536,0.0248138830066,0.0085593611002,3.10879731178
1495532170522137997,1133,0,,-13.8182287216,-33.1961021423,-0.0172737687826,0.00325382151641,5.34550762177,-0.0883569121361,0.00561579223722,-0.0168773084879,0.00223238952458,3.1317152977
1495532170622482392,1134,0,,-13.83685112,-33.1829986572,-0.00212445599027,-0.0116857867688,5.33560705185,-0.227617457509,-0.00648073107004,0.151493117213,-0.149396076798,2.96062541008
1495532170718010388,1135,0,,-13.7825584412,-33.2148971558,0.00578198907897,-0.018118230626,5.32453012466,-0.29392272234,-0.00732982577756,0.079064451158,-0.0643244534731,2.78962874413
1495532170823814698,1136,0,,-13.815237999,-33.1887626648,0.00274451007135,-0.0183708872646,5.31625986099,-0.418368756771,-0.00862525217235,-0.0303747914732,-0.0025265510194,2.63435721397
1495532170922978494,1137,0,,-13.7716274261,-33.2120018005,0.00186296191532,-0.00926066562533,5.30919885635,-0.360364437103,-0.0114925084636,-0.00881548039615,0.0911022052169,2.46332764626
1495532171022547019,1138,0,,-13.8020505905,-33.1859474182,-0.00106258457527,-0.00531979510561,5.30264091492,-0.400294929743,-0.0140698971227,-0.029255464673,0.0394087061286,2.30686426163
1495532171122545564,1139,0,,-13.7598485947,-33.2084655762,-0.00159624090884,-0.00479592010379,5.29648017883,-0.3451846838,-0.0150169515982,-0.00533656263724,0.00523875001818,2.15514326096
1495532171222711234,1140,0,,-13.7946338654,-33.1760559082,-0.00222909171134,-0.0136681860313,5.2883682251,-0.475140064955,-0.016738217324,-0.00632850732654,-0.0887226611376,2.01443839073
1495532171323105910,1141,0,,-13.7636270523,-33.1875648499,0.00344714219682,-0.0182553511113,5.28204345703,-0.4879347682,-0.0179204065353,0.0567623376846,-0.0458716377616,1.84206807613
1495532171350200279,1142,0,,-13.8065948486,-33.1429862976,0.00601172912866,-0.0189194269478,5.27334213257,-0.618879556656,-0.0187667850405,0.0256458707154,-0.0066407667473,1.67020893097
1495532171408338540,1143,0,,-13.8568601608,-33.0875854492,0.00485256966203,-0.0184297785163,5.26652669907,-0.747797429562,-0.0190190151334,-0.0115915983915,0.0048964926973,1.50466501713
1495532171430544993,1144,0,,-13.9139595032,-33.0213508606,0.0037860784214,-0.0180257912725,5.25778961182,-0.874277710915,-0.01998882927,-0.010664910078,0.00403987290338,1.34462201595
1495532171524020012,1145,0,,-13.8696346283,-33.0385513306,0.00276562804356,-0.00886218063533,5.25388860703,-0.690430045128,-0.0175195131451,-0.0102045033127,0.0916360989213,1.21476459503
1495532171622946622,1146,0,,-13.9105205536,-32.988155365,-0.0155667420477,0.0016293899389,5.25391101837,-0.648887217045,-0.008455760777,-0.183323711157,0.104915700853,1.27062988281
1495532171719190498,1147,0,,-13.8542814255,-33.0265350342,-0.0217311959714,0.00511889206246,5.24237203598,-0.462446808815,-0.00816859863698,-0.0616445317864,0.0348950214684,1.33195710182
1495532171824566192,1148,0,,-13.8810777664,-32.9940223694,-0.0156425964087,0.00526717305183,5.24226713181,-0.421211779118,-0.00948538351804,0.0608859881759,0.00148280779831,1.36814534664
1495532171922203817,1149,0,,-13.8230953217,-33.0392875671,0.0027823203709,-0.00238664215431,5.23009347916,-0.398611187935,-0.0132659366354,0.184249177575,-0.0765381529927,1.24450206757
1495532172020049708,1150,0,,-13.84445858,-33.0115203857,-0.00311525841244,0.00153572461568,5.21354866028,-0.350321859121,-0.00431926734746,-0.058975789696,0.0392236672342,1.25714552402
1495532172130538132,1151,0,,-13.7842178345,-33.0617179871,-0.0143280206248,0.00399486906826,5.21322584152,-0.268603086472,-0.00160451338161,-0.112127624452,0.0245914459229,1.3052482605
1495532172222776957,1152,0,,-13.7985448837,-33.0427970886,-0.0179720334709,0.00412135152146,5.21330881119,-0.237317427993,-0.00240275706165,-0.0364401340485,0.00126482115593,1.37122273445
1495532172335526974,1153,0,,-13.7410087585,-33.0944671631,-0.0197759810835,0.00279817753471,5.20136117935,-0.182360932231,-0.000741687021218,-0.0180394742638,-0.0132317384705,1.47268486023
1495532172348234598,1154,0,,-13.7507381439,-33.0815010071,-0.018946826458,0.00218055699952,5.18732500076,-0.162101149559,0.000390554225305,0.00829154718667,-0.00617620442063,1.57182335854
1495532172408683832,1155,0,,-13.7592840195,-33.0696029663,-0.0206389632076,0.00170166941825,5.19005298615,-0.146470934153,0.0031322746072,-0.0169213619083,-0.00478887651116,1.6924829483
1495532172428174509,1156,0,,-13.7669773102,-33.0589790344,-0.0213032923639,0.00160701363347,5.17394781113,-0.131108298898,0.00420338939875,-0.00664329668507,-0.000946558604483,1.81126797199
1495532172533935026,1157,0,,-13.7018098831,-33.1216812134,-0.0188971571624,0.00201779650524,5.17653799057,-0.102164320648,0.00301193911582,0.0240613631904,0.00410783011466,1.90412509441
1495532172633058943,1158,0,,-13.706451416,-33.1151809692,-0.0171807073057,0.00254538375884,5.15680217743,-0.0798046961427,0.00337598961778,0.0171645004302,0.00527587067336,1.98155975342
1495532172731352592,1159,0,,-13.6497173309,-33.1708145142,-0.0187173336744,0.00249857502058,5.16194391251,-0.0793730542064,0.00321870739572,-0.0153662767261,-0.000468086655019,2.06911182404
1495532172831917824,1160,0,,-13.6536455154,-33.1650085449,-0.0234403964132,0.00146442581899,5.14406681061,-0.0698970854282,0.00515583483502,-0.0472306236625,-0.0103414915502,2.18906259537
1495532172931542992,1161,0,,-13.6059875488,-33.2118721008,-0.026679046452,0.000863940047566,5.15539169312,-0.0542675517499,0.00512445531785,-0.0323865003884,-0.0060048578307,2.33031868935
1495532173029786071,1162,0,,-13.6085615158,-33.2079124451,-0.0268950480968,0.000764510710724,5.13254976273,-0.0469072684646,0.00534095568582,-0.00216001574881,-0.000994293484837,2.4688436985
1495532173132447311,1163,0,,-13.6200580597,-33.2495307922,-0.0248860847205,0.000989334192127,5.14112520218,-0.057559389621,0.00362366717309,0.0200896263123,0.00224823481403,2.5882768631
1495532173233363915,1164,0,,-13.6228055954,-33.2455291748,-0.0247796084732,0.00107978109736,5.12054681778,-0.0483059249818,0.00472011929378,0.00106475956272,0.000904469576199,2.70346260071
1495532173328906858,1165,0,,-13.6323060989,-33.2812385559,-0.0258943922818,0.00108620699029,5.13158321381,-0.0446580424905,0.00424976740032,-0.01114782691,6.4257903432e-05,2.82075071335
1495532173339149713,1166,0,,-13.6342983246,-33.2782478333,-0.0267895068973,0.00108321674634,5.10908222198,-0.0356481485069,0.0044837850146,-0.00895114243031,-2.99018229271e-05,2.93589282036
1495532173410193663,1167,0,,-13.6357002258,-33.2759208679,-0.0268446635455,0.00107978249434,5.11994075775,-0.0268316548318,0.00430648541078,-0.000551573757548,-3.43431856891e-05,3.04612898827
1495532173430922767,1168,0,,-13.6365852356,-33.2742729187,-0.0269310008734,0.00106819474604,5.09915113449,-0.0182092897594,0.00425473647192,-0.000863376597408,-0.000115876704513,3.15341544151
1495532173531697873,1169,0,,-13.6434020996,-33.3110847473,-0.0288765914738,0.000674526963849,5.11273527145,-0.0315506272018,0.00354891596362,-0.019455909729,-0.00393667817116,3.27404117584
1495532173631175114,1170,0,,-13.6451625824,-33.308506012,-0.0316381976008,0.000146015518112,5.09402322769,-0.0309036727995,0.00442989077419,-0.0276160612702,-0.00528511451557,3.40894961357
1495532173732066230,1171,0,,-13.6516056061,-33.3303642273,-0.0335066691041,-0.000198037014343,5.11329030991,-0.0545010603964,0.00291120284237,-0.0186846926808,-0.00344052538276,3.55426621437
